Year,Month,Day,Capital,Max Risk,No of lots,Trade Risk,Entry,Entry Time,Point Risk,Exit,Exit Time,PnL,New Capital
2017,02,22,1009888.7499999997,10098.887499999997,2.0,7500.0,8931.45,2017-02-22 09:15:00+05:30,100.0,8926.6,2017-02-22 15:20:00+05:30,-195.00000000002728,1009693.7499999997
2017,02,23,1009693.7499999997,10096.937499999996,2.0,7500.0,8952.55,2017-02-23 09:15:00+05:30,100.0,8936.15,2017-02-23 15:20:00+05:30,-1139.9999999999181,1008553.7499999998
2017,03,01,1008553.7499999998,10085.537499999999,2.0,7500.0,8904.4,2017-03-01 09:15:00+05:30,100.0,8942.4,2017-03-01 15:20:00+05:30,2850.0,1011403.7499999998
2017,03,02,1011403.7499999998,10114.037499999999,2.0,7500.0,8982.85,2017-03-02 09:15:00+05:30,100.0,8882.25,2017-03-02 15:15:00+05:30,-7545.000000000026,1003858.7499999998
2017,03,06,1003858.7499999998,10038.587499999998,2.0,7500.0,8927.85,2017-03-06 09:15:00+05:30,100.0,8963.9,2017-03-06 15:20:00+05:30,2737.5,1006596.2499999998
2017,03,10,1006596.2499999998,10065.962499999998,2.0,7500.0,8953.7,2017-03-10 09:15:00+05:30,100.0,8932.75,2017-03-10 15:20:00+05:30,-1571.2500000000546,1005024.9999999998
2017,03,14,1005024.9999999998,10050.249999999998,2.0,7500.0,9091.65,2017-03-14 09:15:00+05:30,100.0,9084.05,2017-03-14 15:20:00+05:30,-228.74999999994543,1004796.2499999998
2017,03,15,1004796.2499999998,10047.962499999998,2.0,7500.0,9097.3,2017-03-15 09:53:00+05:30,100.0,9083.2,2017-03-15 15:20:00+05:30,-768.75,1004027.4999999998
2017,03,16,1004027.4999999998,10040.274999999998,2.0,7500.0,9129.65,2017-03-16 09:15:00+05:30,100.0,9153.6,2017-03-16 15:20:00+05:30,1935.0000000000816,1005962.4999999999
2017,03,17,1005962.4999999999,10059.624999999998,2.0,7500.0,9207.8,2017-03-17 09:15:00+05:30,100.0,9154.45,2017-03-17 15:20:00+05:30,-3986.2499999999723,1001976.2499999999
2017,03,23,1001976.2499999999,10019.762499999999,2.0,7500.0,9074.0,2017-03-23 09:15:00+05:30,100.0,9083.65,2017-03-23 15:20:00+05:30,806.25,1002782.4999999999
2017,03,24,1002782.4999999999,10027.824999999999,2.0,7500.0,9111.9,2017-03-24 09:31:00+05:30,100.0,9101.5,2017-03-24 15:20:00+05:30,-592.4999999999727,1002189.9999999999
